latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
19.39495,-155.29456,374.17,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,312.44,120.06,D
19.39634,-155.28526,440.01,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,333.06,584.18,D
19.39773,-155.27597,375.29,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,305.97,126.82,D
19.41254,-155.29747,330.6,1.01,1,2025-01-01,0034,Aqua,MODIS,81,6.1NRT,301.39,20.32,D
19.41392,-155.28819,374.04,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,308.74,121.65,D
19.40375,-155.29602,496.72,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,400.07,1535.91,D
19.40512,-155.28676,504.97,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,400.07,1732.01,D
19.40651,-155.27747,424.78,1.01,1,2025-01-01,0034,Aqua,MODIS,100,6.1NRT,331.22,432.5,D
29.7495,-90.416,302.9,1,1,2025-01-01,0317,Terra,MODIS,52,6.1NRT,284.01,7.49,N
35.65184,-89.93649,307.91,1.08,1.04,2025-01-01,0319,Terra,MODIS,73,6.1NRT,276.36,13.83,N
33.30892,-89.34343,300.92,1.08,1.04,2025-01-01,0319,Terra,MODIS,35,6.1NRT,275.36,9.26,N
19.39946,-155.30586,385.57,2.21,1.44,2025-01-01,0809,Terra,MODIS,100,6.1NRT,295.04,564.66,N
19.40172,-155.28517,486.21,2.22,1.44,2025-01-01,0809,Terra,MODIS,100,6.1NRT,331.5,4180.45,N
19.40396,-155.26465,322.78,2.23,1.45,2025-01-01,0809,Terra,MODIS,100,6.1NRT,290.9,68.38,N
19.39986,-155.31239,315.1,2.21,1.44,2025-01-01,0809,Terra,MODIS,79,6.1NRT,287.87,42.82,N
19.40406,-155.27113,412.93,2.23,1.45,2025-01-01,0809,Terra,MODIS,100,6.1NRT,303.65,1095.77,N
19.39508,-155.34596,310.52,2.19,1.44,2025-01-01,0809,Terra,MODIS,61,6.1NRT,286.55,34.13,N
19.40193,-155.29202,480.2,2.22,1.44,2025-01-01,0809,Terra,MODIS,100,6.1NRT,327.78,3805.59,N
19.41461,-155.29398,370.96,2.22,1.44,2025-01-01,0809,Terra,MODIS,100,6.1NRT,293.38,385.11,N
19.41681,-155.27261,328.32,2.23,1.45,2025-01-01,0809,Terra,MODIS,100,6.1NRT,291.02,88.83,N
19.39571,-155.35301,306.89,2.19,1.44,2025-01-01,0809,Terra,MODIS,50,6.1NRT,285.9,28.38,N
28.85614,-100.5233,306.99,1.02,1.01,2025-01-01,0921,Aqua,MODIS,70,6.1NRT,276.55,12.81,N
19.39563,-155.26952,307.01,1.46,1.19,2025-01-01,1242,Aqua,MODIS,33,6.1NRT,285.42,12.76,N
19.41828,-155.28009,381.03,1.46,1.19,2025-01-01,1242,Aqua,MODIS,100,6.1NRT,308.84,273.38,N
19.41992,-155.29308,319.22,1.46,1.19,2025-01-01,1242,Aqua,MODIS,98,6.1NRT,286.45,30.21,N
19.40947,-155.29486,432.95,1.46,1.19,2025-01-01,1242,Aqua,MODIS,100,6.1NRT,299.65,898.71,N
19.40782,-155.28175,506.15,1.46,1.19,2025-01-01,1242,Aqua,MODIS,100,6.1NRT,400.07,3053.6,N
19.40612,-155.2682,419.79,1.46,1.19,2025-01-01,1242,Aqua,MODIS,100,6.1NRT,319.32,681.2,N
19.39899,-155.2964,321.75,1.46,1.19,2025-01-01,1242,Aqua,MODIS,100,6.1NRT,284.98,34.64,N
19.39732,-155.283,348.07,1.46,1.19,2025-01-01,1242,Aqua,MODIS,100,6.1NRT,286.41,101.32,N
19.4166,-155.26683,328.87,1.46,1.19,2025-01-01,1242,Aqua,MODIS,59,6.1NRT,302.2,46.69,N
33.01614,-79.87995,302.32,1.04,1.02,2025-01-01,1520,Terra,MODIS,52,6.1NRT,284.58,7.31,D
29.78999,-82.58207,301.63,1.01,1,2025-01-01,1520,Terra,MODIS,48,6.1NRT,288.55,5.15,D
34.9169,-80.70606,319.77,1,1,2025-01-01,1520,Terra,MODIS,80,6.1NRT,282.16,20.3,D
30.6336,-84.43016,300.66,1.14,1.06,2025-01-01,1520,Terra,MODIS,40,6.1NRT,284.93,6.85,D
34.91843,-80.71667,327.24,1,1,2025-01-01,1520,Terra,MODIS,85,6.1NRT,282.71,28.31,D
30.63506,-84.44175,314.7,1.14,1.06,2025-01-01,1520,Terra,MODIS,75,6.1NRT,286.09,18.31,D
35.3684,-79.02874,303.91,1.05,1.02,2025-01-01,1520,Terra,MODIS,57,6.1NRT,283,8.7,D
32.20966,-81.87032,315.61,1,1,2025-01-01,1520,Terra,MODIS,76,6.1NRT,285.34,16.02,D
26.59248,-80.47393,311.72,1.14,1.06,2025-01-01,1522,Terra,MODIS,70,6.1NRT,291.75,10.59,D
26.59428,-80.48495,320.92,1.13,1.06,2025-01-01,1522,Terra,MODIS,80,6.1NRT,291.03,20.49,D
34.47309,-95.67382,304.41,3.06,1.66,2025-01-01,1656,Terra,MODIS,59,6.1NRT,277,50.62,D
33.41573,-110.86118,308.91,1.53,1.22,2025-01-01,1658,Terra,MODIS,68,6.1NRT,285.31,18.72,D
27.75121,-98.98302,300.34,2.68,1.57,2025-01-01,1658,Terra,MODIS,15,6.1NRT,286.11,11.22,D
31.18528,-97.14083,301.49,2.97,1.64,2025-01-01,1658,Terra,MODIS,47,6.1NRT,284.86,28.15,D
19.41518,-155.28474,369.53,1.29,1.13,2025-01-01,2018,Terra,MODIS,100,6.1NRT,322.98,157.1,D
19.40731,-155.29839,427,1.28,1.12,2025-01-01,2018,Terra,MODIS,100,6.1NRT,316.4,648.31,D
19.40532,-155.28632,499.97,1.29,1.13,2025-01-01,2018,Terra,MODIS,100,6.1NRT,400.07,2310.43,D
19.40337,-155.27449,434.45,1.29,1.13,2025-01-01,2018,Terra,MODIS,100,6.1NRT,328.55,758.11,D
19.39551,-155.28818,341.39,1.29,1.13,2025-01-01,2018,Terra,MODIS,92,6.1NRT,302.59,52.55,D
19.4132,-155.27272,345.12,1.29,1.13,2025-01-01,2018,Terra,MODIS,93,6.1NRT,314.9,69.41,D
29.73994,-90.73991,313.43,1.14,1.06,2025-01-01,2021,Aqua,MODIS,74,6.1NRT,291.71,13.33,D
29.98479,-90.75233,307.26,1.14,1.06,2025-01-01,2021,Aqua,MODIS,65,6.1NRT,291.25,9.01,D
29.98625,-90.74078,305.21,1.14,1.07,2025-01-01,2021,Aqua,MODIS,60,6.1NRT,290.8,7.39,D
29.99214,-90.69446,303.28,1.15,1.07,2025-01-01,2021,Aqua,MODIS,37,6.1NRT,290.7,5.63,D
29.85772,-90.95798,307.01,1.12,1.05,2025-01-01,2021,Aqua,MODIS,65,6.1NRT,290.84,8.09,D
29.85917,-90.94671,306.41,1.12,1.05,2025-01-01,2021,Aqua,MODIS,63,6.1NRT,290.71,7.73,D
29.84846,-90.95641,332.18,1.12,1.05,2025-01-01,2021,Aqua,MODIS,88,6.1NRT,292.49,35.82,D
29.8499,-90.94513,325.41,1.12,1.05,2025-01-01,2021,Aqua,MODIS,84,6.1NRT,291.32,26.1,D
28.93746,-96.81946,303.84,1.32,1.14,2025-01-01,2021,Aqua,MODIS,57,6.1NRT,290.28,7.22,D
29.70947,-91.45439,302.17,1.07,1.03,2025-01-01,2021,Aqua,MODIS,51,6.1NRT,290.85,5.15,D
30.00005,-90.70764,306.48,1.15,1.07,2025-01-01,2021,Aqua,MODIS,59,6.1NRT,291.67,7.72,D
29.89006,-91.61949,317.61,1.06,1.03,2025-01-01,2021,Aqua,MODIS,78,6.1NRT,291.29,15.43,D
29.89909,-91.62109,315.16,1.06,1.03,2025-01-01,2021,Aqua,MODIS,75,6.1NRT,291.55,13.21,D
29.88327,-91.73814,317.21,1.05,1.02,2025-01-01,2021,Aqua,MODIS,77,6.1NRT,289.71,15.24,D
29.88184,-91.74873,304.35,1.05,1.02,2025-01-01,2021,Aqua,MODIS,53,6.1NRT,288.49,5.33,D
29.90192,-91.67179,313.8,1.06,1.03,2025-01-01,2021,Aqua,MODIS,74,6.1NRT,291.59,12.66,D
29.90051,-91.68245,319.02,1.06,1.03,2025-01-01,2021,Aqua,MODIS,79,6.1NRT,290.8,17.62,D
29.89064,-91.7568,300.75,1.05,1.02,2025-01-01,2021,Aqua,MODIS,33,6.1NRT,289.26,3.65,D
30.00153,-90.69604,336.35,1.15,1.07,2025-01-01,2021,Aqua,MODIS,90,6.1NRT,292.58,45.6,D
28.98668,-95.99872,302.1,1.19,1.09,2025-01-01,2021,Aqua,MODIS,49,6.1NRT,291.02,4.28,D
29.74447,-90.74641,313.26,1.14,1.06,2025-01-01,2021,Aqua,MODIS,73,6.1NRT,291.98,13.99,D
29.73847,-90.75136,307.65,1.13,1.06,2025-01-01,2021,Aqua,MODIS,66,6.1NRT,291.42,8.38,D
29.67537,-90.52154,300.76,1.16,1.07,2025-01-01,2021,Aqua,MODIS,41,6.1NRT,290.25,4.29,D
29.67686,-90.50985,317.25,1.16,1.07,2025-01-01,2021,Aqua,MODIS,77,6.1NRT,291.26,18.88,D
29.91619,-91.77223,310.51,1.05,1.02,2025-01-01,2021,Aqua,MODIS,70,6.1NRT,290.44,9.73,D
29.91807,-91.8267,313.18,1.05,1.02,2025-01-01,2021,Aqua,MODIS,73,6.1NRT,289.56,11.94,D
29.91664,-91.83725,307.37,1.05,1.02,2025-01-01,2021,Aqua,MODIS,65,6.1NRT,286.56,7.64,D
30.05608,-90.99269,305.09,1.12,1.05,2025-01-01,2021,Aqua,MODIS,31,6.1NRT,288.11,6.19,D
30.06535,-90.99427,307.55,1.12,1.05,2025-01-01,2021,Aqua,MODIS,66,6.1NRT,288.54,8.48,D
30.06388,-91.00557,311.1,1.12,1.05,2025-01-01,2021,Aqua,MODIS,71,6.1NRT,287.67,11.26,D
30.10184,-91.05234,300.29,1.11,1.05,2025-01-01,2021,Aqua,MODIS,28,6.1NRT,287.39,4.04,D
30.1004,-91.06359,306.66,1.11,1.05,2025-01-01,2021,Aqua,MODIS,64,6.1NRT,288.54,8.45,D
30.03172,-91.79866,304.04,1.05,1.02,2025-01-01,2021,Aqua,MODIS,58,6.1NRT,286.71,6.39,D
30.0303,-91.80926,307.38,1.05,1.02,2025-01-01,2021,Aqua,MODIS,65,6.1NRT,286,8.67,D
30.14176,-91.03614,300.58,1.12,1.05,2025-01-01,2021,Aqua,MODIS,27,6.1NRT,290.28,4.24,D
30.13301,-91.10362,303.33,1.11,1.05,2025-01-01,2021,Aqua,MODIS,56,6.1NRT,290.02,5.92,D
30.13156,-91.11483,303.24,1.11,1.05,2025-01-01,2021,Aqua,MODIS,55,6.1NRT,290.74,5.52,D
30.18381,-91.06161,304.18,1.11,1.05,2025-01-01,2021,Aqua,MODIS,45,6.1NRT,289.54,7.2,D
30.28761,-91.25697,303.6,1.1,1.04,2025-01-01,2021,Aqua,MODIS,56,6.1NRT,290.63,5.77,D
30.97976,-85.61822,302.5,2.46,1.51,2025-01-01,2021,Aqua,MODIS,52,6.1NRT,288.63,20.54,D
30.38655,-91.28084,306.01,1.1,1.04,2025-01-01,2021,Aqua,MODIS,63,6.1NRT,290.55,7.67,D
30.41348,-91.41581,303.83,1.09,1.04,2025-01-01,2021,Aqua,MODIS,57,6.1NRT,289.93,6.64,D
30.41205,-91.42683,302.39,1.09,1.04,2025-01-01,2021,Aqua,MODIS,52,6.1NRT,289.87,5.56,D
29.79971,-96.67332,306.35,1.25,1.11,2025-01-01,2021,Aqua,MODIS,63,6.1NRT,289.76,9.39,D
31.02536,-87.77366,319.59,1.75,1.3,2025-01-01,2021,Aqua,MODIS,79,6.1NRT,288.39,42.66,D
30.69985,-91.48537,301.04,1.09,1.04,2025-01-01,2021,Aqua,MODIS,44,6.1NRT,289.88,4,D
30.70367,-91.5986,300.97,1.08,1.04,2025-01-01,2021,Aqua,MODIS,42,6.1NRT,290.41,3.95,D
30.87215,-91.78614,304.18,1.07,1.03,2025-01-01,2021,Aqua,MODIS,51,6.1NRT,288.75,6.92,D
31.19395,-89.32948,300.53,1.4,1.17,2025-01-01,2021,Aqua,MODIS,38,6.1NRT,288.66,7.24,D
30.92056,-92.17403,300.95,1.04,1.02,2025-01-01,2021,Aqua,MODIS,43,6.1NRT,288.43,4.79,D
30.95325,-92.14323,316.8,1.04,1.02,2025-01-01,2021,Aqua,MODIS,77,6.1NRT,287.81,16.7,D
30.95182,-92.15385,316.34,1.04,1.02,2025-01-01,2021,Aqua,MODIS,77,6.1NRT,288.38,16.25,D
31.01755,-92.34512,301.96,1.03,1.02,2025-01-01,2021,Aqua,MODIS,20,6.1NRT,289.43,4.33,D
31.02646,-92.34678,305.38,1.03,1.02,2025-01-01,2021,Aqua,MODIS,60,6.1NRT,289.46,6.23,D
31.69432,-88.8831,305.91,1.51,1.21,2025-01-01,2021,Aqua,MODIS,62,6.1NRT,287.82,14.81,D
30.87876,-96.69571,304.18,1.21,1.09,2025-01-01,2021,Aqua,MODIS,46,6.1NRT,289.84,6.43,D
30.8883,-96.69795,307.04,1.21,1.09,2025-01-01,2021,Aqua,MODIS,64,6.1NRT,289.87,8.85,D
32.0215,-88.7303,304.48,1.56,1.23,2025-01-01,2021,Aqua,MODIS,51,6.1NRT,287.6,14.31,D
