latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
40.416888,-75.872772,015,032,5579,3664,2025-03-13,1546,L9,medium,D
40.358464,-75.722571,015,032,6002,3884,2025-03-13,1546,L9,high,D
40.358194,-75.722568,015,032,6002,3885,2025-03-13,1546,L9,medium,D
40.331731,-75.718754,015,032,6012,3983,2025-03-13,1546,L9,high,D
40.33146,-75.718752,015,032,6012,3984,2025-03-13,1546,L9,high,D
40.854858,-75.691277,015,032,6105,2048,2025-03-13,1546,L9,high,D
40.854587,-75.691274,015,032,6105,2049,2025-03-13,1546,L9,high,D
40.21875,-75.674545,015,032,6134,4402,2025-03-13,1546,L9,medium,D
40.623018,-75.306518,015,032,7183,2912,2025-03-13,1546,L9,high,D
40.622748,-75.306517,015,032,7183,2913,2025-03-13,1546,L9,high,D
40.623019,-75.306164,015,032,7184,2912,2025-03-13,1546,L9,medium,D
40.622749,-75.306162,015,032,7184,2913,2025-03-13,1546,L9,high,D
40.85798,-75.263105,015,032,7308,2043,2025-03-13,1546,L9,medium,D
40.85771,-75.263104,015,032,7308,2044,2025-03-13,1546,L9,high,D
40.857981,-75.262749,015,032,7309,2043,2025-03-13,1546,L9,medium,D
40.970961,-75.256066,015,032,7329,1625,2025-03-13,1546,L9,high,D
40.97069,-75.256065,015,032,7329,1626,2025-03-13,1546,L9,high,D
40.97042,-75.256064,015,032,7329,1627,2025-03-13,1546,L9,medium,D
40.970961,-75.255709,015,032,7330,1625,2025-03-13,1546,L9,medium,D
40.970691,-75.255708,015,032,7330,1626,2025-03-13,1546,L9,medium,D
40.664003,-75.231109,015,032,7396,2761,2025-03-13,1546,L9,high,D
40.663733,-75.231108,015,032,7396,2762,2025-03-13,1546,L9,medium,D
34.412558,-79.284677,015,036,382,4636,2025-03-13,1547,L9,high,D
34.412553,-79.284351,015,036,383,4636,2025-03-13,1547,L9,high,D
34.068593,-79.108958,015,036,944,5898,2025-03-13,1547,L9,high,D
34.068322,-79.108964,015,036,944,5899,2025-03-13,1547,L9,high,D
34.068052,-79.10897,015,036,944,5900,2025-03-13,1547,L9,high,D
34.068588,-79.108633,015,036,945,5898,2025-03-13,1547,L9,high,D
34.068317,-79.108639,015,036,945,5899,2025-03-13,1547,L9,high,D
34.068047,-79.108645,015,036,945,5900,2025-03-13,1547,L9,high,D
34.068583,-79.108308,015,036,946,5898,2025-03-13,1547,L9,high,D
34.068312,-79.108314,015,036,946,5899,2025-03-13,1547,L9,high,D
34.068042,-79.10832,015,036,946,5900,2025-03-13,1547,L9,medium,D
34.068578,-79.107984,015,036,947,5898,2025-03-13,1547,L9,high,D
34.068307,-79.10799,015,036,947,5899,2025-03-13,1547,L9,high,D
35.143376,-79.083108,015,036,948,1923,2025-03-13,1547,L9,low,D
34.068573,-79.107659,015,036,948,5898,2025-03-13,1547,L9,high,D
34.068568,-79.107334,015,036,949,5898,2025-03-13,1547,L9,medium,D
34.068563,-79.107009,015,036,950,5898,2025-03-13,1547,L9,high,D
34.068558,-79.106684,015,036,951,5898,2025-03-13,1547,L9,high,D
34.068818,-79.106028,015,036,953,5897,2025-03-13,1547,L9,low,D
34.588253,-79.008952,015,036,1214,3971,2025-03-13,1547,L9,medium,D
34.587983,-79.008959,015,036,1214,3972,2025-03-13,1547,L9,high,D
35.570188,-78.906163,015,036,1452,334,2025-03-13,1547,L9,high,D
35.570182,-78.905832,015,036,1453,334,2025-03-13,1547,L9,high,D
34.057726,-78.937922,015,036,1471,5928,2025-03-13,1547,L9,high,D
34.086415,-78.891061,015,036,1613,5819,2025-03-13,1547,L9,high,D
34.086409,-78.890736,015,036,1614,5819,2025-03-13,1547,L9,high,D
34.086139,-78.890743,015,036,1614,5820,2025-03-13,1547,L9,medium,D
34.562996,-78.843788,015,036,1721,4054,2025-03-13,1547,L9,high,D
34.00338,-78.844723,015,036,1762,6123,2025-03-13,1547,L9,low,D
35.093197,-78.673291,015,036,2197,2082,2025-03-13,1547,L9,low,D
35.092927,-78.673298,015,036,2197,2083,2025-03-13,1547,L9,high,D
34.968952,-78.653484,015,036,2268,2540,2025-03-13,1547,L9,medium,D
34.968682,-78.653492,015,036,2268,2541,2025-03-13,1547,L9,medium,D
35.52686,-78.571516,015,036,2467,471,2025-03-13,1547,L9,high,D
35.52659,-78.571524,015,036,2467,472,2025-03-13,1547,L9,low,D
33.962658,-78.588977,015,036,2553,6256,2025-03-13,1547,L9,low,D
33.962387,-78.588985,015,036,2553,6257,2025-03-13,1547,L9,low,D
33.962651,-78.588653,015,036,2554,6256,2025-03-13,1547,L9,low,D
33.962645,-78.588329,015,036,2555,6256,2025-03-13,1547,L9,high,D
33.963179,-78.587989,015,036,2556,6254,2025-03-13,1547,L9,low,D
33.962639,-78.588004,015,036,2556,6256,2025-03-13,1547,L9,low,D
33.962368,-78.588012,015,036,2556,6257,2025-03-13,1547,L9,low,D
33.963714,-78.587649,015,036,2557,6252,2025-03-13,1547,L9,low,D
33.963443,-78.587657,015,036,2557,6253,2025-03-13,1547,L9,high,D
33.963173,-78.587664,015,036,2557,6254,2025-03-13,1547,L9,high,D
33.963978,-78.587317,015,036,2558,6251,2025-03-13,1547,L9,high,D
33.963707,-78.587325,015,036,2558,6252,2025-03-13,1547,L9,high,D
33.963437,-78.587332,015,036,2558,6253,2025-03-13,1547,L9,high,D
33.963167,-78.58734,015,036,2558,6254,2025-03-13,1547,L9,high,D
33.963971,-78.586993,015,036,2559,6251,2025-03-13,1547,L9,high,D
33.963701,-78.587,015,036,2559,6252,2025-03-13,1547,L9,high,D
33.96343,-78.587008,015,036,2559,6253,2025-03-13,1547,L9,high,D
33.96316,-78.587016,015,036,2559,6254,2025-03-13,1547,L9,low,D
33.963965,-78.586668,015,036,2560,6251,2025-03-13,1547,L9,high,D
33.963694,-78.586676,015,036,2560,6252,2025-03-13,1547,L9,high,D
33.963424,-78.586683,015,036,2560,6253,2025-03-13,1547,L9,high,D
33.963154,-78.586691,015,036,2560,6254,2025-03-13,1547,L9,high,D
33.963418,-78.586359,015,036,2561,6253,2025-03-13,1547,L9,high,D
33.963147,-78.586367,015,036,2561,6254,2025-03-13,1547,L9,high,D
35.335197,-78.456483,015,036,2833,1171,2025-03-13,1547,L9,high,D
35.33546,-78.456145,015,036,2834,1170,2025-03-13,1547,L9,high,D
35.33519,-78.456153,015,036,2834,1171,2025-03-13,1547,L9,high,D
34.985411,-78.463413,015,036,2845,2465,2025-03-13,1547,L9,high,D
34.985404,-78.463084,015,036,2846,2465,2025-03-13,1547,L9,high,D
35.238297,-78.452262,015,036,2855,1529,2025-03-13,1547,L9,low,D
35.493123,-78.418447,015,036,2933,584,2025-03-13,1547,L9,high,D
35.492853,-78.418456,015,036,2933,585,2025-03-13,1547,L9,high,D
35.035337,-78.108436,015,036,3920,2251,2025-03-13,1547,L9,low,D
33.973427,-78.10985,015,036,4028,6178,2025-03-13,1547,L9,low,D
33.973157,-78.109859,015,036,4028,6179,2025-03-13,1547,L9,low,D
33.973127,-78.108562,015,036,4032,6179,2025-03-13,1547,L9,low,D
33.972856,-78.108571,015,036,4032,6180,2025-03-13,1547,L9,high,D
35.058647,-78.043488,015,036,4115,2159,2025-03-13,1547,L9,low,D
35.058377,-78.043498,015,036,4115,2160,2025-03-13,1547,L9,high,D
34.7501,-78.053881,015,036,4117,3301,2025-03-13,1547,L9,low,D
35.161984,-78.023287,015,036,4165,1775,2025-03-13,1547,L9,low,D
35.161714,-78.023297,015,036,4165,1776,2025-03-13,1547,L9,low,D
34.0735,-77.997586,015,036,4363,5798,2025-03-13,1547,L9,high,D
