centroid_cluster,date,count,centroid_lat,centroid_lon
0,2019-11-02,1,-34.00017900976541,149.4427411265879
0,2019-11-26,9,-34.00017900976541,149.4427411265879
0,2019-11-27,4,-34.00017900976541,149.4427411265879
0,2019-11-28,8,-34.00017900976541,149.4427411265879
0,2019-11-29,1,-34.00017900976541,149.4427411265879
0,2020-01-23,12,-34.00017900976541,149.4427411265879
1,2019-11-04,5,-14.895446308956569,127.36138014267988
1,2019-11-06,23,-14.895446308956569,127.36138014267988
1,2019-11-07,11,-14.895446308956569,127.36138014267988
1,2019-11-08,14,-14.895446308956569,127.36138014267988
1,2019-11-09,2,-14.895446308956569,127.36138014267988
1,2019-11-10,7,-14.895446308956569,127.36138014267988
1,2019-11-11,15,-14.895446308956569,127.36138014267988
1,2019-11-12,39,-14.895446308956569,127.36138014267988
1,2019-11-13,65,-14.895446308956569,127.36138014267988
1,2019-11-14,24,-14.895446308956569,127.36138014267988
1,2019-11-15,18,-14.895446308956569,127.36138014267988
1,2019-11-16,9,-14.895446308956569,127.36138014267988
1,2019-11-17,31,-14.895446308956569,127.36138014267988
1,2019-11-18,9,-14.895446308956569,127.36138014267988
1,2019-11-19,8,-14.895446308956569,127.36138014267988
1,2019-11-20,49,-14.895446308956569,127.36138014267988
1,2019-11-21,23,-14.895446308956569,127.36138014267988
1,2019-11-22,17,-14.895446308956569,127.36138014267988
1,2019-11-23,3,-14.895446308956569,127.36138014267988
1,2019-11-24,7,-14.895446308956569,127.36138014267988
1,2019-11-26,4,-14.895446308956569,127.36138014267988
2,2019-12-15,1,-21.121622630004644,148.13744385918983
2,2019-12-16,1,-21.121622630004644,148.13744385918983
2,2019-12-17,1,-21.121622630004644,148.13744385918983
2,2019-12-19,2,-21.121622630004644,148.13744385918983
2,2019-12-20,2,-21.121622630004644,148.13744385918983
2,2019-12-21,2,-21.121622630004644,148.13744385918983
2,2019-12-22,1,-21.121622630004644,148.13744385918983
2,2019-12-23,3,-21.121622630004644,148.13744385918983
2,2019-12-24,3,-21.121622630004644,148.13744385918983
2,2020-02-03,1,-21.121622630004644,148.13744385918983
2,2020-02-04,3,-21.121622630004644,148.13744385918983
2,2020-02-06,2,-21.121622630004644,148.13744385918983
2,2020-02-07,1,-21.121622630004644,148.13744385918983
2,2020-02-08,1,-21.121622630004644,148.13744385918983
2,2020-02-12,1,-21.121622630004644,148.13744385918983
2,2020-02-16,2,-21.121622630004644,148.13744385918983
3,2019-11-04,1,-30.826797619970247,123.4866764344481
3,2019-11-05,5,-30.826797619970247,123.4866764344481
3,2019-12-20,6,-30.826797619970247,123.4866764344481
3,2019-12-22,17,-30.826797619970247,123.4866764344481
3,2019-12-23,19,-30.826797619970247,123.4866764344481
3,2019-12-26,16,-30.826797619970247,123.4866764344481
3,2019-12-27,93,-30.826797619970247,123.4866764344481
3,2019-12-28,13,-30.826797619970247,123.4866764344481
3,2019-12-29,160,-30.826797619970247,123.4866764344481
3,2019-12-30,30,-30.826797619970247,123.4866764344481
3,2019-12-31,30,-30.826797619970247,123.4866764344481
3,2020-01-01,87,-30.826797619970247,123.4866764344481
3,2020-01-02,244,-30.826797619970247,123.4866764344481
3,2020-01-04,7,-30.826797619970247,123.4866764344481
3,2020-01-05,10,-30.826797619970247,123.4866764344481
3,2020-01-06,7,-30.826797619970247,123.4866764344481
3,2020-01-07,13,-30.826797619970247,123.4866764344481
4,2019-11-28,3,-16.2135711217133,141.87049198089053
4,2019-11-29,20,-16.2135711217133,141.87049198089053
4,2019-11-30,30,-16.2135711217133,141.87049198089053
4,2019-12-01,14,-16.2135711217133,141.87049198089053
4,2019-12-02,12,-16.2135711217133,141.87049198089053
4,2019-12-03,66,-16.2135711217133,141.87049198089053
4,2019-12-04,20,-16.2135711217133,141.87049198089053
4,2019-12-05,10,-16.2135711217133,141.87049198089053
4,2019-12-07,5,-16.2135711217133,141.87049198089053
4,2019-12-08,5,-16.2135711217133,141.87049198089053
4,2019-12-20,4,-16.2135711217133,141.87049198089053
5,2019-11-01,13,-29.220638034633126,151.6112688937389
5,2019-11-02,1,-29.220638034633126,151.6112688937389
5,2019-11-03,4,-29.220638034633126,151.6112688937389
5,2019-11-04,5,-29.220638034633126,151.6112688937389
5,2019-11-05,13,-29.220638034633126,151.6112688937389
5,2019-11-06,52,-29.220638034633126,151.6112688937389
5,2019-11-07,127,-29.220638034633126,151.6112688937389
5,2019-11-08,303,-29.220638034633126,151.6112688937389
5,2019-11-09,116,-29.220638034633126,151.6112688937389
5,2019-11-10,107,-29.220638034633126,151.6112688937389
5,2019-11-11,91,-29.220638034633126,151.6112688937389
5,2019-11-12,78,-29.220638034633126,151.6112688937389
5,2019-11-13,65,-29.220638034633126,151.6112688937389
5,2019-11-14,23,-29.220638034633126,151.6112688937389
5,2019-11-15,16,-29.220638034633126,151.6112688937389
5,2019-11-16,28,-29.220638034633126,151.6112688937389
5,2019-11-17,6,-29.220638034633126,151.6112688937389
5,2019-11-18,7,-29.220638034633126,151.6112688937389
5,2019-11-19,9,-29.220638034633126,151.6112688937389
5,2019-11-20,4,-29.220638034633126,151.6112688937389
5,2019-11-21,2,-29.220638034633126,151.6112688937389
5,2019-12-15,1,-29.220638034633126,151.6112688937389
5,2019-12-16,6,-29.220638034633126,151.6112688937389
5,2020-01-05,2,-29.220638034633126,151.6112688937389
5,2020-01-06,1,-29.220638034633126,151.6112688937389
5,2020-02-28,4,-29.220638034633126,151.6112688937389
6,2019-11-01,1,-12.770549638925015,134.620369235557
6,2019-11-13,6,-12.770549638925015,134.620369235557
6,2019-12-04,16,-12.770549638925015,134.620369235557
6,2019-12-05,51,-12.770549638925015,134.620369235557
6,2019-12-06,23,-12.770549638925015,134.620369235557
6,2019-12-07,14,-12.770549638925015,134.620369235557
6,2019-12-08,33,-12.770549638925015,134.620369235557
6,2019-12-09,11,-12.770549638925015,134.620369235557
6,2019-12-10,18,-12.770549638925015,134.620369235557
6,2019-12-11,2,-12.770549638925015,134.620369235557
6,2019-12-12,3,-12.770549638925015,134.620369235557
6,2019-12-13,2,-12.770549638925015,134.620369235557
6,2019-12-14,2,-12.770549638925015,134.620369235557
6,2019-12-15,2,-12.770549638925015,134.620369235557
6,2019-12-16,1,-12.770549638925015,134.620369235557
6,2019-12-17,2,-12.770549638925015,134.620369235557
6,2019-12-18,1,-12.770549638925015,134.620369235557
6,2019-12-24,1,-12.770549638925015,134.620369235557
6,2019-12-29,1,-12.770549638925015,134.620369235557
7,2019-11-06,8,-19.284715608213475,122.9390334964624
7,2019-11-07,11,-19.284715608213475,122.9390334964624
7,2019-12-09,5,-19.284715608213475,122.9390334964624
7,2019-12-10,2,-19.284715608213475,122.9390334964624
7,2019-12-11,14,-19.284715608213475,122.9390334964624
7,2019-12-15,8,-19.284715608213475,122.9390334964624
7,2019-12-16,2,-19.284715608213475,122.9390334964624
7,2019-12-17,2,-19.284715608213475,122.9390334964624
7,2019-12-26,4,-19.284715608213475,122.9390334964624
7,2019-12-27,9,-19.284715608213475,122.9390334964624
8,2019-11-02,2,-28.624128635629067,128.54707683604576
8,2019-12-19,1,-28.624128635629067,128.54707683604576
8,2019-12-26,8,-28.624128635629067,128.54707683604576
8,2019-12-27,53,-28.624128635629067,128.54707683604576
8,2019-12-28,106,-28.624128635629067,128.54707683604576
8,2019-12-29,150,-28.624128635629067,128.54707683604576
8,2019-12-30,23,-28.624128635629067,128.54707683604576
8,2019-12-31,13,-28.624128635629067,128.54707683604576
8,2020-01-01,33,-28.624128635629067,128.54707683604576
8,2020-01-02,34,-28.624128635629067,128.54707683604576
9,2019-12-31,48,-37.29396331359216,149.1334796572153
9,2020-01-01,15,-37.29396331359216,149.1334796572153
9,2020-01-02,5,-37.29396331359216,149.1334796572153
9,2020-01-03,12,-37.29396331359216,149.1334796572153
9,2020-01-04,127,-37.29396331359216,149.1334796572153
9,2020-01-08,4,-37.29396331359216,149.1334796572153
9,2020-01-09,5,-37.29396331359216,149.1334796572153
9,2020-01-10,18,-37.29396331359216,149.1334796572153
9,2020-01-11,21,-37.29396331359216,149.1334796572153
9,2020-01-12,39,-37.29396331359216,149.1334796572153
9,2020-01-13,62,-37.29396331359216,149.1334796572153
9,2020-01-14,15,-37.29396331359216,149.1334796572153
9,2020-01-15,23,-37.29396331359216,149.1334796572153
9,2020-01-22,6,-37.29396331359216,149.1334796572153
9,2020-01-23,3,-37.29396331359216,149.1334796572153
9,2020-01-24,18,-37.29396331359216,149.1334796572153
9,2020-01-25,26,-37.29396331359216,149.1334796572153
9,2020-01-26,44,-37.29396331359216,149.1334796572153
9,2020-01-27,9,-37.29396331359216,149.1334796572153
9,2020-01-28,5,-37.29396331359216,149.1334796572153
9,2020-01-29,32,-37.29396331359216,149.1334796572153
9,2020-01-30,88,-37.29396331359216,149.1334796572153
9,2020-01-31,158,-37.29396331359216,149.1334796572153
9,2020-02-01,64,-37.29396331359216,149.1334796572153
9,2020-02-04,7,-37.29396331359216,149.1334796572153
9,2020-02-05,5,-37.29396331359216,149.1334796572153
9,2020-02-06,3,-37.29396331359216,149.1334796572153
9,2020-02-07,2,-37.29396331359216,149.1334796572153
10,2019-12-08,2,-35.79249692741187,137.0787666707708
10,2019-12-20,65,-35.79249692741187,137.0787666707708
10,2019-12-21,91,-35.79249692741187,137.0787666707708
10,2019-12-22,6,-35.79249692741187,137.0787666707708
10,2019-12-23,10,-35.79249692741187,137.0787666707708
10,2019-12-24,12,-35.79249692741187,137.0787666707708
10,2019-12-25,4,-35.79249692741187,137.0787666707708
10,2019-12-26,1,-35.79249692741187,137.0787666707708
10,2019-12-28,2,-35.79249692741187,137.0787666707708
10,2020-01-05,17,-35.79249692741187,137.0787666707708
10,2020-01-06,22,-35.79249692741187,137.0787666707708
10,2020-01-07,11,-35.79249692741187,137.0787666707708
10,2020-01-08,13,-35.79249692741187,137.0787666707708
10,2020-01-09,35,-35.79249692741187,137.0787666707708
10,2020-01-11,1,-35.79249692741187,137.0787666707708
10,2020-01-12,5,-35.79249692741187,137.0787666707708
10,2020-01-13,3,-35.79249692741187,137.0787666707708
10,2020-01-14,1,-35.79249692741187,137.0787666707708
10,2020-01-15,1,-35.79249692741187,137.0787666707708
10,2020-01-17,1,-35.79249692741187,137.0787666707708
10,2020-01-19,1,-35.79249692741187,137.0787666707708
11,2019-12-13,1,-17.467558981569,144.78612345781198
11,2019-12-14,9,-17.467558981569,144.78612345781198
11,2019-12-15,2,-17.467558981569,144.78612345781198
11,2019-12-16,4,-17.467558981569,144.78612345781198
11,2019-12-17,55,-17.467558981569,144.78612345781198
11,2019-12-18,34,-17.467558981569,144.78612345781198
11,2019-12-19,29,-17.467558981569,144.78612345781198
11,2019-12-20,11,-17.467558981569,144.78612345781198
11,2019-12-21,8,-17.467558981569,144.78612345781198
11,2019-12-22,3,-17.467558981569,144.78612345781198
11,2019-12-23,4,-17.467558981569,144.78612345781198
11,2019-12-24,15,-17.467558981569,144.78612345781198
11,2019-12-25,17,-17.467558981569,144.78612345781198
11,2019-12-30,1,-17.467558981569,144.78612345781198
11,2020-01-01,4,-17.467558981569,144.78612345781198
11,2020-01-02,8,-17.467558981569,144.78612345781198
11,2020-01-04,1,-17.467558981569,144.78612345781198
11,2020-01-06,3,-17.467558981569,144.78612345781198
11,2020-01-09,5,-17.467558981569,144.78612345781198
11,2020-01-10,2,-17.467558981569,144.78612345781198
11,2020-01-11,9,-17.467558981569,144.78612345781198
11,2020-01-12,21,-17.467558981569,144.78612345781198
11,2020-01-13,7,-17.467558981569,144.78612345781198
11,2020-01-14,8,-17.467558981569,144.78612345781198
11,2020-01-18,2,-17.467558981569,144.78612345781198
11,2020-01-20,1,-17.467558981569,144.78612345781198
11,2020-01-21,1,-17.467558981569,144.78612345781198
11,2020-02-06,1,-17.467558981569,144.78612345781198
12,2019-12-12,1,-27.806500991152163,116.5306697240286
13,2019-11-05,3,-26.738570476670372,152.45846116811813
13,2019-11-06,1,-26.738570476670372,152.45846116811813
13,2019-11-07,6,-26.738570476670372,152.45846116811813
13,2019-11-08,21,-26.738570476670372,152.45846116811813
13,2019-11-09,17,-26.738570476670372,152.45846116811813
13,2019-11-10,14,-26.738570476670372,152.45846116811813
13,2019-11-11,2,-26.738570476670372,152.45846116811813
13,2019-11-12,1,-26.738570476670372,152.45846116811813
13,2019-11-13,5,-26.738570476670372,152.45846116811813
13,2019-11-19,1,-26.738570476670372,152.45846116811813
13,2020-01-29,7,-26.738570476670372,152.45846116811813
14,2019-11-01,4,-30.995239314698207,152.4817270987608
14,2019-11-02,3,-30.995239314698207,152.4817270987608
14,2019-11-05,3,-30.995239314698207,152.4817270987608
14,2019-11-06,7,-30.995239314698207,152.4817270987608
14,2019-11-07,77,-30.995239314698207,152.4817270987608
14,2019-11-08,234,-30.995239314698207,152.4817270987608
14,2019-11-09,84,-30.995239314698207,152.4817270987608
14,2019-11-10,35,-30.995239314698207,152.4817270987608
14,2019-11-12,96,-30.995239314698207,152.4817270987608
14,2019-11-13,46,-30.995239314698207,152.4817270987608
14,2019-11-14,24,-30.995239314698207,152.4817270987608
14,2019-11-15,37,-30.995239314698207,152.4817270987608
14,2019-11-16,5,-30.995239314698207,152.4817270987608
14,2019-11-18,14,-30.995239314698207,152.4817270987608
14,2019-11-19,25,-30.995239314698207,152.4817270987608
14,2019-11-20,10,-30.995239314698207,152.4817270987608
14,2019-11-21,2,-30.995239314698207,152.4817270987608
14,2019-11-22,2,-30.995239314698207,152.4817270987608
14,2019-11-26,3,-30.995239314698207,152.4817270987608
14,2019-11-27,3,-30.995239314698207,152.4817270987608
14,2019-11-28,3,-30.995239314698207,152.4817270987608
14,2019-12-03,5,-30.995239314698207,152.4817270987608
14,2019-12-04,4,-30.995239314698207,152.4817270987608
14,2019-12-05,6,-30.995239314698207,152.4817270987608
14,2020-01-29,2,-30.995239314698207,152.4817270987608
14,2020-02-02,3,-30.995239314698207,152.4817270987608
15,2019-11-04,1,-20.6833031709995,139.45479172754392
15,2019-11-06,1,-20.6833031709995,139.45479172754392
15,2019-11-09,1,-20.6833031709995,139.45479172754392
15,2019-11-10,3,-20.6833031709995,139.45479172754392
15,2019-11-20,1,-20.6833031709995,139.45479172754392
15,2019-11-21,1,-20.6833031709995,139.45479172754392
15,2019-11-22,1,-20.6833031709995,139.45479172754392
15,2019-11-23,1,-20.6833031709995,139.45479172754392
15,2019-11-25,1,-20.6833031709995,139.45479172754392
15,2019-11-26,1,-20.6833031709995,139.45479172754392
15,2019-11-27,1,-20.6833031709995,139.45479172754392
15,2019-12-05,3,-20.6833031709995,139.45479172754392
15,2019-12-09,2,-20.6833031709995,139.45479172754392
15,2019-12-14,1,-20.6833031709995,139.45479172754392
15,2019-12-16,2,-20.6833031709995,139.45479172754392
15,2019-12-17,2,-20.6833031709995,139.45479172754392
15,2019-12-21,1,-20.6833031709995,139.45479172754392
15,2019-12-22,2,-20.6833031709995,139.45479172754392
15,2019-12-24,1,-20.6833031709995,139.45479172754392
15,2019-12-25,2,-20.6833031709995,139.45479172754392
