system:index,burn,count,date,.geo
2019_11_01_+33420+11769,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.31474058853564,-15.845537114097088]}"
2019_11_01_+33421+11767,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.3176035492724,-15.827550702251893]}"
2019_11_01_+33425+11778,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.41235613499568,-15.919731062958517]}"
2019_11_01_+33429+11779,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.45304375802695,-15.928724268881115]}"
2019_11_01_+33430+11763,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.37758560567893,-15.788580143253961]}"
2019_11_01_+33433+11779,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.49233197008579,-15.935469173323066]}"
2019_11_01_+33436+12638,1,8,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[131.7648819017836,-23.65163985491198]}"
2019_11_01_+33439+11763,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.46076983987187,-15.787081275600201]}"
2019_11_01_+33446+12634,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[131.830979087659,-23.624660237144184]}"
2019_11_01_+33461+11698,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.30945340251937,-15.207019493592643]}"
2019_11_01_+33474+11976,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.05966409612319,-17.70263413711353]}"
2019_11_01_+33475+11978,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.08503169916,-17.725117151920028]}"
2019_11_01_+33478+11976,1,7,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.1005142976054,-17.69556804674579]}"
2019_11_01_+33479+12630,1,16,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[132.11469028965718,-23.577445906050546]}"
2019_11_01_+33509+11751,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.04340034256724,-15.679162804529028]}"
2019_11_01_+33514+11730,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.98164129904661,-15.494802083115772]}"
2019_11_01_+33514+11748,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.08089707831932,-15.656679789722533]}"
2019_11_01_+33517+11735,1,5,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.02896571548183,-15.532573547990701]}"
2019_11_01_+33517+11750,1,5,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.11481862962773,-15.66927027801417]}"
2019_11_01_+33520+11731,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.0384554367357,-15.50379528903837]}"
2019_11_01_+33653+11682,1,5,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.00699431064083,-15.05233635172396]}"
2019_11_01_+33655+11679,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.01969894608237,-15.036148581063285]}"
2019_11_01_+33667+11671,1,7,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.0909392997427,-14.950070752946987]}"
2019_11_01_+33672+11669,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.12455956624875,-14.946216521837307]}"
2019_11_01_+33728+11727,1,6,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.94530861299302,-15.46332586238668]}"
2019_11_01_+33979+11730,1,5,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[130.3077381284513,-15.491204800746733]}"
2019_11_01_+34023+13690,1,19,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.3617535380661,-33.09829268665971]}"
2019_11_01_+34026+13688,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.42088185180498,-33.09900267660097]}"
2019_11_01_+34028+13681,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.33707899205515,-33.040546838104085]}"
2019_11_01_+34030+13680,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.3431885570901,-33.031553632181485]}"
2019_11_01_+34030+13686,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.43537102118754,-33.08551286771708]}"
2019_11_01_+34032+13684,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.42607893148298,-33.06752645587188]}"
2019_11_01_+34033+13682,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.40607626334304,-33.04954004402668]}"
2019_11_01_+34035+13682,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.42753465754268,-33.04954004402668]}"
2019_11_01_+34216+11570,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[131.65796443669333,-14.055889135500124]}"
2019_11_01_+34217+11566,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[131.6465676663442,-14.019916311809734]}"
2019_11_01_+34297+11419,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[131.65770358530654,-12.688921835265258]}"
2019_11_01_+34372+13579,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.45205683937246,-32.11874323103781]}"
2019_11_01_+34380+13535,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[151.887439421588,-31.723042170443506]}"
2019_11_01_+34409+13534,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.17080897221987,-31.71854556748221]}"
2019_11_01_+34421+13388,1,16,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.1924877763358,-30.3701267544627]}"
2019_11_01_+34441+13428,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.98279008623697,-30.765265739686836]}"
2019_11_01_+34455+13206,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.15193249018074,-28.76877402487013]}"
