lat,lon
-32.959607984800705,116.45812873224314
-32.950614778878105,116.46771325781805
-31.907402891856762,122.85111424594714
-31.520695037185053,123.96446850296513
-31.547674654952846,124.01084535431181
-31.57015766975934,124.040738053261
-31.439756183881677,123.9732329468551
-31.124993976590755,123.67567618911774
-31.142980388435944,123.7306529757903
-31.06204153513257,123.65674437113755
-31.300361492081407,124.0302404371791
-31.080027946977765,123.75014067618415
-31.29586488912011,124.06773652693668
-21.163519549659927,118.43720757619339
-41.300806478010166,147.10324798693907
-27.221942606183305,129.85427770064362
-17.653171504539245,122.38611564763795
-17.644178298616648,122.43190846593475
-25.414308215741148,130.27784798869448
-17.365388915016116,123.8083306672778
-17.31142967948053,123.78135377124549
-17.338409297248322,123.86548624734776
-17.288946664674032,123.88866990668684
-17.338409297248322,123.92201403582648
-16.35814985168516,123.81583492313058
-36.09733753119508,148.04515947634576
-15.954579735908586,124.72444300666506
-15.899496349632676,124.70308724876736
-15.921979364439169,124.73106508597648
-15.944462379245662,124.77309794357463
-15.962448791090859,124.78897249407007
-15.921979364439169,124.83393691093553
-15.899496349632676,124.83400038144264
-16.265969490978534,125.13701973235268
-16.227748365807493,125.18060197676125
-16.226249498153734,125.20618677058123
-16.1917755421171,125.27013190465247
-16.15730158608047,125.24359071987524
-16.07036726216203,125.21210076120424
-15.962448791090859,125.19586589028569
-15.980435202936052,125.33808075709662
-15.99842161478125,125.3680669113815
-15.728625437103315,125.2191091501503
-15.845537114097088,125.31474058853564
-15.827550702251893,125.3176035492724
-15.919731062958517,125.41235613499568
-15.928724268881115,125.45304375802695
-15.788580143253961,125.37758560567893
-15.935469173323066,125.49233197008579
-23.65163985491198,131.7648819017836
-15.787081275600201,125.46076983987187
-23.624660237144184,131.830979087659
-15.207019493592643,125.30945340251937
-17.70263413711353,127.05966409612319
-17.725117151920028,127.08503169916
-17.69556804674579,127.1005142976054
-23.577445906050546,132.11469028965718
-15.679162804529028,126.04340034256724
-15.494802083115772,125.98164129904661
-15.656679789722533,126.08089707831932
-15.532573547990701,126.02896571548183
-15.66927027801417,126.11481862962773
-15.50379528903837,126.0384554367357
-15.05233635172396,127.00699431064083
-15.036148581063285,127.01969894608237
-14.950070752946987,127.0909392997427
-14.946216521837307,127.12455956624875
-15.46332586238668,127.94530861299302
-15.491204800746733,130.3077381284513
-33.09829268665971,150.3617535380661
-33.09900267660097,150.42088185180498
-33.040546838104085,150.33707899205515
