lat,lon
-34.00017900976541,149.4427411265879
-14.895446308956569,127.36138014267988
-21.121622630004644,148.13744385918983
-30.826797619970247,123.4866764344481
-16.2135711217133,141.87049198089053
-29.220638034633126,151.6112688937389
-12.770549638925015,134.620369235557
-19.284715608213475,122.9390334964624
-28.624128635629067,128.54707683604576
-37.29396331359216,149.1334796572153
-35.79249692741187,137.0787666707708
-17.467558981569,144.78612345781198
-27.806500991152163,116.5306697240286
-26.738570476670372,152.45846116811813
-30.995239314698207,152.4817270987608
-20.6833031709995,139.45479172754392
-22.497083993899434,117.13464710639526
-25.082048898767678,147.6821814751938
-16.73863212386962,137.3659361533561
-12.903021176418708,143.46641970133396
-13.752541085104099,130.94922328274038
-32.627715917439176,119.89555549303562
-24.443041976100584,130.1857164809751
-16.94359358490982,124.17175591422554
-41.607131165897066,147.92382083776525
-32.852342502239374,151.0758288819463
-15.443054951174071,143.8922560522056
-25.119169009235556,149.26328296761403
-36.40930582639865,147.7584105240018
-35.47541499483228,150.1326105087888
-19.149650337982358,144.09745958555226
-12.147108268352786,136.5102425880837
-37.91706223748835,141.6234021967998
-32.5451028381778,122.0009352194082
-15.9333855825736,125.47115130060916
-31.034941738052666,132.80225677926822
-23.765179079684778,150.60768836734195
-26.503235566202363,127.67550141949117
-30.79149592362775,147.71033669737477
-30.781160954498045,119.82869630764748
-21.098574246778547,136.68739171828463
-20.74609163769588,119.6316836684502
-18.302879451600223,142.8313855425778
-15.68710210739332,129.5193230429463
-28.257900029137307,125.40646556059802
-34.34510230285073,118.04098740234191
-30.21110108740224,150.17477006582178
-29.692610111852666,152.57134488473002
-32.42992525071945,123.46464316985816
-33.9539738924638,150.45888259212418
-37.5012628859139,147.99696559061226
-12.440741717400861,131.68903357493022
-21.70186887377046,126.85079603974435
-19.206276205941062,145.9543079894905
-21.68584437156872,145.70575700386317
-11.57415696856805,142.48536068862077
-31.407682959501724,151.8633526284325
-13.928241535536907,135.68679545011682
-28.236980063792856,121.56384543104377
-26.937671649449,129.94040193496755
-14.193681315612348,132.5435684924943
-25.38119912939915,150.7059866300121
-32.97039721867273,150.2803192827613
-18.31915618968712,126.03005405654778
-17.62637192882741,122.31176047056803
-23.091856870573025,123.20890496866967
-23.05054780674696,149.3826810124389
-28.234997276010873,149.09544676808383
-36.89717803889083,146.74113689514076
-28.321640462318918,152.63653657221985
-16.65586074774259,127.96468421138485
-26.167679890713686,146.64636159577486
-36.41415850380791,149.94918226123147
-34.56152278976344,135.74336090129725
-16.028809823476294,143.33118201949205
-12.545892389404608,141.89566637396928
-12.113550476735991,132.86276666939014
-15.044054920765616,142.4500443110704
-17.419139379699928,143.0812830866813
-35.78835954986802,148.83929655282626
-24.100393692984593,113.50292182876264
-29.281919639107837,144.95084286972514
-33.3918814161469,115.84531732526841
-29.083450582580834,131.34111107504492
-15.07484340451241,145.03366379206133
-29.81438777965584,118.50976015184844
-20.434093359348623,134.62752980202052
-30.488067590914586,150.98611945115596
-34.02434378976676,142.10791433188376
-24.56429516086986,128.49802097859765
-18.055772288842604,145.4769893459457
-16.755032372665376,135.78259261052293
-35.658319195406925,140.07671065408002
-18.397626760383286,143.89749436315898
