burn,count,date,latitude,longitude
1,1,2019-11-01,-32.959607984800705,116.45812873224314
1,1,2019-11-01,-32.950614778878105,116.46771325781805
1,1,2019-11-01,-31.907402891856762,122.85111424594714
1,3,2019-11-01,-31.520695037185053,123.96446850296513
1,1,2019-11-01,-31.547674654952846,124.01084535431181
1,2,2019-11-01,-31.57015766975934,124.040738053261
1,1,2019-11-01,-31.439756183881677,123.9732329468551
1,1,2019-11-01,-31.124993976590755,123.67567618911774
1,1,2019-11-01,-31.142980388435944,123.7306529757903
1,1,2019-11-01,-31.06204153513257,123.65674437113755
1,8,2019-11-01,-31.300361492081407,124.0302404371791
1,3,2019-11-01,-31.080027946977765,123.75014067618415
1,1,2019-11-01,-31.29586488912011,124.06773652693668
1,3,2019-11-01,-21.163519549659927,118.43720757619339
1,2,2019-11-01,-41.300806478010166,147.10324798693907
1,2,2019-11-01,-27.221942606183305,129.85427770064362
1,2,2019-11-01,-17.653171504539245,122.38611564763795
1,1,2019-11-01,-17.644178298616648,122.43190846593475
1,3,2019-11-01,-25.414308215741148,130.27784798869448
1,1,2019-11-01,-17.365388915016116,123.8083306672778
1,1,2019-11-01,-17.31142967948053,123.78135377124549
1,1,2019-11-01,-17.338409297248322,123.86548624734776
1,2,2019-11-01,-17.288946664674032,123.88866990668684
1,1,2019-11-01,-17.338409297248322,123.92201403582648
1,3,2019-11-01,-16.35814985168516,123.81583492313058
1,10,2019-11-01,-36.09733753119508,148.04515947634576
1,8,2019-11-01,-15.954579735908586,124.72444300666506
1,2,2019-11-01,-15.899496349632676,124.70308724876736
1,2,2019-11-01,-15.921979364439169,124.73106508597648
1,1,2019-11-01,-15.944462379245662,124.77309794357463
1,2,2019-11-01,-15.962448791090859,124.78897249407007
1,2,2019-11-01,-15.921979364439169,124.83393691093553
1,2,2019-11-01,-15.899496349632676,124.83400038144264
1,4,2019-11-01,-16.265969490978534,125.13701973235268
1,2,2019-11-01,-16.227748365807493,125.18060197676125
1,3,2019-11-01,-16.226249498153734,125.20618677058123
1,2,2019-11-01,-16.1917755421171,125.27013190465247
1,3,2019-11-01,-16.15730158608047,125.24359071987524
1,2,2019-11-01,-16.07036726216203,125.21210076120424
1,1,2019-11-01,-15.962448791090859,125.19586589028569
1,1,2019-11-01,-15.980435202936052,125.33808075709662
1,1,2019-11-01,-15.99842161478125,125.3680669113815
1,1,2019-11-01,-15.728625437103315,125.2191091501503
1,2,2019-11-01,-15.845537114097088,125.31474058853564
1,1,2019-11-01,-15.827550702251893,125.3176035492724
1,4,2019-11-01,-15.919731062958517,125.41235613499568
1,4,2019-11-01,-15.928724268881115,125.45304375802695
1,3,2019-11-01,-15.788580143253961,125.37758560567893
1,2,2019-11-01,-15.935469173323066,125.49233197008579
1,8,2019-11-01,-23.65163985491198,131.7648819017836
1,2,2019-11-01,-15.787081275600201,125.46076983987187
1,3,2019-11-01,-23.624660237144184,131.830979087659
1,2,2019-11-01,-15.207019493592643,125.30945340251937
1,2,2019-11-01,-17.70263413711353,127.05966409612319
1,1,2019-11-01,-17.725117151920028,127.08503169916
1,7,2019-11-01,-17.69556804674579,127.1005142976054
1,16,2019-11-01,-23.577445906050546,132.11469028965718
1,2,2019-11-01,-15.679162804529028,126.04340034256724
1,1,2019-11-01,-15.494802083115772,125.98164129904661
1,1,2019-11-01,-15.656679789722533,126.08089707831932
1,5,2019-11-01,-15.532573547990701,126.02896571548183
1,5,2019-11-01,-15.66927027801417,126.11481862962773
1,2,2019-11-01,-15.50379528903837,126.0384554367357
1,5,2019-11-01,-15.05233635172396,127.00699431064083
1,1,2019-11-01,-15.036148581063285,127.01969894608237
1,7,2019-11-01,-14.950070752946987,127.0909392997427
1,1,2019-11-01,-14.946216521837307,127.12455956624875
1,6,2019-11-01,-15.46332586238668,127.94530861299302
1,5,2019-11-01,-15.491204800746733,130.3077381284513
1,19,2019-11-01,-33.09829268665971,150.3617535380661
1,2,2019-11-01,-33.09900267660097,150.42088185180498
1,1,2019-11-01,-33.040546838104085,150.33707899205515
1,1,2019-11-01,-33.031553632181485,150.3431885570901
1,1,2019-11-01,-33.08551286771708,150.43537102118754
1,1,2019-11-01,-33.06752645587188,150.42607893148298
1,1,2019-11-01,-33.04954004402668,150.40607626334304
1,1,2019-11-01,-33.04954004402668,150.42753465754268
1,1,2019-11-01,-14.055889135500124,131.65796443669333
1,1,2019-11-01,-14.019916311809734,131.6465676663442
1,4,2019-11-01,-12.688921835265258,131.65770358530654
1,4,2019-11-01,-32.11874323103781,152.45205683937246
1,2,2019-11-01,-31.723042170443506,151.887439421588
1,3,2019-11-01,-31.71854556748221,152.17080897221987
1,16,2019-11-01,-30.3701267544627,150.1924877763358
1,2,2019-11-01,-30.765265739686836,150.98279008623697
1,1,2019-11-01,-28.76877402487013,148.15193249018074
1,1,2019-11-01,-31.43076297795908,152.20769203787182
1,3,2019-11-01,-15.46482473004044,134.80921635179232
1,1,2019-11-01,-15.422856435734989,134.8379136289039
1,3,2019-11-01,-31.226916977046866,152.1097956266068
1,1,2019-11-01,-31.178953212126338,152.0326894329814
1,1,2019-11-01,-31.223919241739328,152.25220277511642
1,1,2019-11-01,-31.214926035816728,152.25875054752518
1,4,2019-11-01,-31.17445660916504,152.21992468227984
1,13,2019-11-01,-31.158891445068228,152.23978232884
1,2,2019-11-01,-31.273381874313618,152.53715764366484
1,1,2019-11-01,-31.28687168319751,152.5747632991288
1,8,2019-11-01,-30.92039854185165,152.0421503082744
1,6,2019-11-01,-30.996091358366844,152.16181424831493
1,1,2019-11-01,-30.954123064061392,152.11415085364558
1,1,2019-11-01,-31.241905653584528,152.57570841562153
1,4,2019-11-01,-30.9271434462936,152.0843241372537
1,1,2019-11-01,-30.99908909367438,152.19632382515428
1,5,2019-11-01,-30.887573340234173,152.04608406435744
1,2,2019-11-01,-31.13398718251335,152.44912533128803
1,2,2019-11-01,-31.313851300965307,152.75003478672937
1,14,2019-11-01,-30.990738259603404,152.22720951172073
1,1,2019-11-01,-31.11600077066815,152.5095191947031
1,1,2019-11-01,-31.11600077066815,152.53052834412102
1,1,2019-11-01,-31.241905653584528,152.7545238026984
1,1,2019-11-01,-31.25089885950712,152.80063040146607
1,3,2019-11-01,-31.23890791827699,152.8057731069143
1,1,2019-11-01,-30.77425894560944,152.16397992125047
1,3,2019-11-01,-30.828218181145026,152.27037970414256
1,3,2019-11-01,-30.75927026907178,152.18214548153998
1,1,2019-11-01,-30.783252151532036,152.3142909157587
1,1,2019-11-01,-30.765265739686836,152.29628542741207
1,1,2019-11-01,-12.041411008838217,133.83540243495267
1,6,2019-11-01,-11.99194837626393,133.84758651302462
1,1,2019-11-01,-30.765265739686836,152.42187860744477
1,1,2019-11-01,-12.050404214760816,133.97782290798605
1,1,2019-11-01,-13.084622895859562,134.54575339874748
1,8,2019-11-01,-15.830923154472865,136.27409876062444
1,1,2019-11-01,-15.782584672638903,136.2520685554258
1,1,2019-11-01,-15.800571084484098,136.27351206525083
1,2,2019-11-01,-15.733122040064616,136.36370202145824
1,2,2019-11-01,-30.733789518957746,152.6964135890611
1,2,2019-11-01,-28.570923494572977,149.8436967243359
1,1,2019-11-01,-30.180707354717985,152.52912319848122
1,1,2019-11-01,-28.34609334650803,149.94939844744985
1,1,2019-11-01,-29.731047058588096,152.00648807735033
1,1,2019-11-01,-30.081782089569405,152.65695965101187
1,5,2019-11-01,-29.279588121273683,151.4827987532466
1,8,2019-11-01,-29.263400350613008,151.48922224157283
1,1,2019-11-01,-30.045809265879015,152.67421614291936
1,2,2019-11-01,-30.14023792806629,152.90849759648833
1,3,2019-11-01,-13.780097487207131,136.2450809902538
1,2,2019-11-01,-29.870441750388355,153.1466376016442
1,3,2019-11-01,-29.886929294579794,153.20826344301562
1,2,2019-11-01,-12.990194233672286,136.35875583889006
1,7,2019-11-01,-29.82997232373667,153.1845390029032
1,1,2019-11-01,-29.2903799683808,152.43921185849737
1,2,2019-11-01,-12.859792747794618,136.38441180677037
1,1,2019-11-01,-12.72489465895565,136.42676860181345
1,1,2019-11-01,-12.715901453033052,136.44037354022748
1,1,2019-11-01,-27.518718401629034,150.14425052086776
1,1,2019-11-01,-12.509057716813302,136.5328655241013
1,2,2019-11-01,-12.432615466471221,136.63993187772013
1,4,2019-11-01,-12.113356656218999,136.52499048380736
1,1,2019-11-01,-26.115778277703775,150.570682313694
1,1,2019-11-01,-16.36714305760776,141.43348627497062
1,1,2019-11-01,-16.36714305760776,141.45223235817477
1,9,2019-11-01,-18.778321489966487,145.7588401062056
1,1,2019-11-01,-19.22698254099386,146.2042963557238
1,3,2019-11-01,-13.183548161008137,141.8876798562741
1,1,2019-11-01,-13.147575337317745,141.89454941408744
1,1,2019-11-01,-12.40113924574213,141.89961709674654
1,2,2019-11-01,-12.522547525697199,142.27930241937665
1,2,2019-11-01,-15.62970017195474,144.4751577205994
1,1,2019-11-01,-15.656679789722533,144.49887871603997
1,2,2019-11-01,-15.643189980838637,144.50802647709105
1,1,2019-11-01,-11.50181865348235,142.08971959209018
1,1,2019-11-01,-11.429873006101566,142.25538859270625
1,3,2019-11-01,-11.41788206487143,142.3013632584871
1,1,2019-11-01,-11.411886594256371,142.3197641777356
1,2,2019-11-01,-12.985697630710986,143.2366804881647
